time/total_timesteps,time/episodes,time/fps,time/time_elapsed,rollout/ep_len_mean,rollout/ep_rew_mean,train/n_updates,train/learning_rate,train/critic_loss,train/ent_coef,train/ent_coef_loss,train/actor_loss
18530,141,4,3795,148.49,218.38012799,368580,0.003,271062.74453125,73.18140678405761,-0.59506711140275,-22433.61796875
18619,142,4,3814,148.68,219.14490584999996,370360,0.003,350290.590625,82.70186614990234,0.3108756422996521,-23104.342578125
18740,143,4,3839,149.58,221.05668523999992,372780,0.003,342462.03359375,75.23631935119629,-0.026098863035440446,-23816.36318359375
18976,144,4,3887,151.45,225.37470079,377500,0.003,378721.34375,104.33984451293945,-0.14588189274072647,-26947.46328125
19218,145,4,3937,153.65,229.91359685,382340,0.003,500646.44375,85.84626998901368,0.37779410034418104,-28886.0712890625
19987,146,4,4095,161.09,237.21401226999998,397720,0.003,227783.72578125,70.16820945739747,-0.22335077710449697,-23717.2490234375
20018,147,4,4101,161.19,237.51939341999997,398340,0.003,240503.9171875,64.10869674682617,-0.722934027761221,-23415.39873046875
20437,148,4,4187,164.98,241.69006242999995,406720,0.003,215307.60703125,50.11341037750244,-0.6246390238404274,-21266.21103515625
20455,149,4,4191,164.76,241.7540676,407080,0.003,237514.6453125,48.04450016021728,0.052470213174819945,-20638.55390625
21312,150,4,4366,172.95,255.07334597000002,424220,0.003,236628.49921875,51.234846115112305,0.36972692236304283,-20567.07373046875
22173,151,4,4542,181.1,263.91217521,441440,0.003,228528.5546875,60.91813507080078,0.272457829490304,-20644.4568359375
22203,152,4,4548,180.97,264.11427991,442040,0.003,256976.44453125,81.95624656677246,-0.31890516728162766,-20877.43125
22240,153,4,4555,180.87,264.44788128000005,442780,0.003,408303.95703125,88.6788516998291,-0.34629336595535276,-21886.4228515625
22307,154,4,4569,181.08,265.13250224,444120,0.003,474356.8515625,89.19266662597656,-0.046235885471105576,-23068.36259765625
22803,155,4,4671,183.26,267.49080394,454040,0.003,302220.953125,64.00258178710938,-0.20621002465486526,-24342.9841796875
23047,156,4,4721,184.05,266.75263992,458920,0.003,472032.759375,82.3094913482666,-0.1303488567471504,-25811.4494140625
23118,157,4,4735,183.66,264.72026549,460340,0.003,355825.46875,85.36142158508301,0.37074090391397474,-26914.42392578125
24118,158,4,4941,193.16,273.90550132,480340,0.003,227848.60078125,44.978742599487305,0.14137680009007453,-20350.73701171875
24420,159,4,5003,194.66,273.86823619,486380,0.003,312459.2484375,62.345329666137694,0.023846010118722914,-22061.3310546875
24473,160,4,5014,193.25,270.72342531000004,487440,0.003,403157.5390625,61.01359977722168,0.500816198065877,-22867.097265625
24557,161,4,5031,193.93,271.70513369,489120,0.003,361911.25625,75.04234046936035,0.051053033024072644,-23696.30576171875
24675,162,4,5055,194.86,273.48294119,491480,0.003,390916.59375,70.97684745788574,0.14950806125998498,-25158.90048828125
24833,163,4,5088,196.24,276.30844909999996,494640,0.003,371205.703125,58.96907081604004,0.15295665189623833,-24725.75361328125
24935,164,4,5109,195.25,274.39105825999997,496680,0.003,369213.996875,63.21961936950684,0.7266059413552284,-24514.7060546875
25373,165,4,5199,196.72,275.96088081999994,505440,0.003,401404.6203125,69.78959922790527,0.03527884557843208,-26964.40595703125
25726,166,4,5271,199.87,280.36020213,512500,0.003,290979.6265625,50.67128582000733,0.3426568225026131,-24863.76669921875
26253,167,4,5379,203.49,284.95454634,523040,0.003,434524.940625,60.28741397857666,-0.8932458996772766,-23327.57490234375
26341,168,4,5397,199.84,281.79861625999996,524800,0.003,562340.9640625,62.88320045471191,0.22486190497875214,-23583.39697265625
26477,169,4,5425,199.67,279.35525104,527520,0.003,738594.1578125,70.78167381286622,-0.3739349268376827,-25468.4671875
26649,170,4,5460,199.72,279.1287748799999,530960,0.003,444912.2796875,78.85098571777344,-0.24208142459392548,-25261.8416015625
26753,171,4,5481,199.94,280.1526181,533040,0.003,439310.0609375,63.01176586151123,0.08012237027287483,-25255.35341796875
26867,172,4,5505,199.88,280.92700317,535320,0.003,408177.0375,63.76435928344726,-0.3005525454878807,-24685.616796875
27143,173,4,5561,198.89,280.54742570999997,540840,0.003,478479.2078125,65.35660705566406,0.18841175660490989,-25652.34951171875
27606,174,4,5657,202.57,286.26271338,550100,0.003,350237.515625,57.9613115310669,0.6348868336528539,-24235.90244140625
27746,175,4,5685,203.59,288.03495381,552900,0.003,431356.6453125,67.26749954223632,0.096867024153471,-23504.5353515625
28057,176,4,5749,205.78,290.38343176999996,559120,0.003,537467.74375,73.59849815368652,-0.49007837772369384,-25938.50693359375
28553,177,4,5851,209.82,294.38593783,569040,0.003,595068.4640625,67.92602767944337,0.9276741437613965,-28153.9169921875
28786,178,4,5899,211.73,296.46725882,573700,0.003,631603.81875,71.1084140777588,-0.29517161920666696,-27415.7041015625
28871,179,4,5916,211.51,295.12485588,575400,0.003,840888.48125,96.25661544799804,-0.14804940447211265,-28869.696484375
29829,180,4,6113,220.66,310.49817327,594560,0.003,863135.1125,105.43576202392578,-0.09555583521723747,-36593.688671875
30000,181,4,6148,222.01,313.25293395,597980,0.003,1028713.078125,95.02532501220703,-0.13641491383314133,-36863.48046875
30636,182,4,6279,228.2,318.0166031,610700,0.003,759947.109375,94.13641357421875,0.7137900307774544,-38617.4861328125
31182,183,4,6390,228.08,317.18676141000003,621620,0.003,811848.315625,106.96967658996581,0.26757153011858464,-36479.6875
