time/total_timesteps,time/time_elapsed,rollout/ep_rew_mean,rollout/ep_len_mean,time/fps,time/episodes,train/actor_loss,train/ent_coef_loss,train/learning_rate,train/n_updates,train/ent_coef,train/critic_loss
38487,8403,382.73188287000005,288.88,4,178,-44861.658203125,0.22244903445243835,0.003,767720,179.8896842956543,2782655.14375
38665,8443,383.96351251999994,289.14,4,179,-51754.0501953125,-0.09742798544466495,0.003,771280,168.64838790893555,3500078.8125
39635,8657,389.24150104999995,295.3,4,180,-56085.55078125,-0.5539385795593261,0.003,790680,222.0326126098633,3714532.6
40635,8874,396.65999367999996,304.02,4,181,-48874.662890625,-0.5051639825105667,0.003,810680,154.68485946655272,2096879.53125
41272,9011,403.9797811,309.83,4,182,-67570.38125,-0.3496503494679928,0.003,823420,125.2333553314209,2302531.1
41529,9068,404.22192296000003,310.75,4,183,-60778.9083984375,0.3926248408854008,0.003,828560,107.00623016357422,1993532.54375
42274,9231,414.87366903000003,318.06,4,184,-41489.8701171875,0.1336319126188755,0.003,843460,92.45881729125976,1250059.346875
42450,9269,417.41616404000007,319.69,4,185,-39625.6595703125,-0.13408965095877648,0.003,846980,84.39972801208496,1141794.971875
43120,9414,425.98058352,326.23,4,186,-52353.2673828125,-0.5625488601624966,0.003,860380,127.86647720336914,3105919.51875
43268,9448,429.13290483,327.55,4,187,-54003.09765625,0.25504805594682695,0.003,863340,117.08252182006837,4367206.28125
43385,9474,429.87129197,327.53,4,188,-56912.4296875,0.5094626866281032,0.003,865680,163.16261596679686,2921594.08125
43477,9496,428.12987640999995,326.14,4,189,-61396.861328125,0.6963171001523734,0.003,867520,174.5854263305664,3245230.9
43574,9516,426.86587273,323.92,4,190,-64633.173828125,-0.42494053617119787,0.003,869460,148.66111068725587,3249674.14375
43674,9538,425.3363633199999,322.37,4,191,-66463.9849609375,0.07007964104413986,0.003,871460,140.8069755554199,2946269.0
43881,9586,429.07473557,323.72,4,192,-66313.8595703125,0.12883298397064208,0.003,875600,115.69995040893555,3135329.1625
44386,9697,437.26708556,327.79,4,193,-55720.0544921875,-0.7512648165225982,0.003,885700,82.60653839111328,2528759.66875
44661,9758,439.85375210999996,329.9,4,194,-51479.50859375,0.15624699257314206,0.003,891200,120.33185691833496,2682178.7625
45661,9976,450.52114679999994,338.8,4,195,-35361.0240234375,0.6260500252246857,0.003,911200,65.59099197387695,1088525.26875
46292,10111,460.6687674699999,344.09,4,196,-31814.1083984375,0.18620487675070763,0.003,923820,71.91670799255371,1041670.084375
46709,10203,467.97136885,346.37,4,197,-26787.1203125,-0.28315380215644836,0.003,932160,49.17455368041992,757785.8390625
47709,10428,477.6339668,353.44,4,198,-25855.0556640625,0.03104225844144821,0.003,952160,53.79696788787842,607619.1890625
48637,10634,484.61607086000004,361.21,4,199,-22439.88603515625,0.2626498781144619,0.003,970720,68.20253829956054,614317.9203125
48698,10647,482.08544613,359.78,4,200,-22755.44423828125,-0.2574642915278673,0.003,971940,64.09478302001953,713234.9625
49353,10791,487.71026289,363.06,4,201,-22717.4578125,-0.2643793608993292,0.003,985040,38.93216419219971,444603.6109375
49994,10929,491.59877406999993,366.16,4,202,-20693.88818359375,-0.078664018958807,0.003,997860,42.614637184143064,556107.8609375
50524,11043,494.39066572999997,368.91,4,203,-18166.6673828125,-0.23926223143935205,0.003,1008460,35.808966064453124,306351.3125
51010,11147,498.94468614,373.25,4,204,-16249.429052734375,-0.2234524693340063,0.003,1018180,39.89906692504883,362200.38203125
51255,11201,496.62548129000004,372.23,4,205,-23291.00595703125,0.22486259713768958,0.003,1023080,97.58281478881835,1095031.353125
51578,11269,495.06700985,370.33,4,206,-38872.1369140625,0.24700561985373498,0.003,1029540,89.08213500976562,1304953.778125
51792,11317,492.8339038700001,368.43,4,207,-36096.4421875,-0.21450254395604135,0.003,1033820,53.67314395904541,1076473.409375
52216,11408,496.29207677000005,371.24,4,208,-28926.5564453125,-0.2109125591814518,0.003,1042300,46.768714141845706,637510.178125
52533,11481,497.94505606000007,373.16,4,209,-26016.69404296875,0.00020196884870529174,0.003,1048640,50.58036785125732,634822.45625
52675,11514,497.9837435200001,373.36,4,210,-24477.446484375,0.62356588691473,0.003,1051480,53.27018013000488,988094.18125
53375,11666,502.8959540000001,378.34,4,211,-30301.45009765625,-0.4943745922297239,0.003,1065480,95.19091415405273,1487712.09375
53500,11693,491.70660204000006,370.59,4,212,-32962.79072265625,0.2615057811141014,0.003,1067980,94.77346763610839,1944944.58125
54291,11864,499.59327371000006,378.16,4,213,-27960.177734375,-0.0437601612880826,0.003,1083800,58.26191787719726,841025.840625
54868,11985,500.48394311,381.18,4,214,-28230.6341796875,0.14742745012044906,0.003,1095340,71.59966125488282,893323.015625
55868,12205,512.01922998,389.85,4,215,-20560.5095703125,-0.1948918215930462,0.003,1115340,45.65732765197754,631923.8109375
56193,12272,514.96288908,392.86,4,216,-26987.67734375,-0.09941627457737923,0.003,1121840,63.10834712982178,889432.540625
56927,12427,521.56731527,398.56,4,217,-24660.80126953125,0.23636415600776672,0.003,1136520,49.7355131149292,762694.1078125
