time/fps,rollout/ep_rew_mean,time/time_elapsed,time/total_timesteps,time/episodes,rollout/ep_len_mean,train/ent_coef_loss,train/n_updates,train/ent_coef,train/critic_loss,train/actor_loss,train/learning_rate
3,339.1485181699999,5202,18597,104,184.83,-0.5088925361633301,369920,0.061201922595500946,3.985763120651245,-118.07084655761719,0.03
3,343.48639029,5272,18842,105,187.18,2.1692752838134766,374820,0.05326618254184723,3.7108529806137085,-122.98896026611328,0.03
3,347.1605005999999,5328,19041,106,189.02,-1.597321629524231,378800,0.07286328077316284,4.619590413570404,-117.7744140625,0.03
3,351.45103779,5387,19254,107,191.04,-0.5445771217346191,383060,0.06066778302192688,3.815981185436249,-120.70248413085938,0.03
3,355.01045019000003,5440,19443,108,192.85,2.9444193840026855,386840,0.0558813214302063,4.412638306617737,-119.51872253417969,0.03
3,359.12267882,5499,19652,109,194.86,0.005499005317687988,391020,0.06794753670692444,4.240234100818634,-119.33358764648438,0.03
3,363.24470797000004,5557,19864,110,196.91,-1.239905595779419,395260,0.07774608582258224,3.8833477973937987,-113.66341400146484,0.03
3,367.29419803,5616,20076,111,198.94,1.1417256593704224,399500,0.08132179081439972,4.257267844676972,-115.54164123535156,0.03
3,372.90888523,5708,20403,112,202.11,-1.2665905952453613,406040,0.07252545654773712,5.180361211299896,-122.46861267089844,0.03
3,377.52048124,5770,20621,113,204.16,-0.5476657748222351,410400,0.06925838440656662,5.389246487617493,-121.32268524169922,0.03
3,382.42880853,5832,20843,114,206.19,0.26419517397880554,414840,0.07271890342235565,5.558293557167053,-120.53402709960938,0.03
3,383.73933188,5890,21048,115,206.09,1.1516005992889404,418940,0.06797822564840317,4.773592925071716,-117.70177459716797,0.03
3,389.16831563,5992,21404,116,207.9,-0.158309206366539,426060,0.055120889097452164,4.954154539108276,-114.29057312011719,0.03
3,397.46912604000005,6105,21807,117,209.86,0.24008242785930634,434120,0.05140554532408714,4.439655351638794,-117.37301635742188,0.03
3,402.48009248,6186,22095,118,211.27,-0.3298766613006592,439880,0.05402941256761551,4.327616345882416,-119.4344482421875,0.03
3,411.54217390000014,6366,22715,119,213.72,0.4036562144756317,452280,0.07703494280576706,6.4607840299606325,-130.84507751464844,0.03
3,415.82863942999995,6419,22901,120,214.83,-1.056180477142334,456000,0.08475353568792343,7.314057779312134,-131.5161590576172,0.03
3,417.20313412,6479,23119,121,213.61,1.497248649597168,460360,0.08873302489519119,8.330757737159729,-131.84889221191406,0.03
3,434.31373006000007,6759,24119,122,222.42,0.460690975189209,480360,0.10006095468997955,9.763583564758301,-139.64083862304688,0.03
3,453.4898221200001,7042,25119,123,230.78,0.2468246966600418,500360,0.08519941568374634,9.742886161804199,-146.0861358642578,0.03
3,470.5700974600001,7333,26119,124,239.1,0.7006083130836487,520360,0.07906700670719147,10.0983802318573,-149.4559326171875,0.03
