rollout/ep_rew_mean,time/time_elapsed,rollout/ep_len_mean,time/total_timesteps,time/fps,time/episodes,train/learning_rate,train/n_updates,train/ent_coef,train/actor_loss,train/critic_loss,train/ent_coef_loss
311.79250956000004,2453,172.92,20256,8,123,0.003,403100,0.08329803496599197,-226.62542724609375,5.879093396663666,0.7562243938446045
312.79980357,2474,173.4,20438,8,124,0.003,406740,0.08677728474140167,-226.50633239746094,4.1152182698249815,-0.5443441271781921
310.46151835,2492,173.15,20597,8,125,0.003,409920,0.0912516638636589,-222.2902374267578,5.627978038787842,-0.20122507214546204
308.74345870999997,2518,174.04,20816,8,126,0.003,414300,0.08777231723070145,-225.98635864257812,4.544407856464386,-0.24856197834014893
308.86629398,2538,174.04,20969,8,127,0.003,417360,0.08571627736091614,-227.2272186279297,6.173569548130035,-1.2862298488616943
308.50322896000006,2559,173.85,21142,8,128,0.003,420820,0.08719133585691452,-226.18130493164062,5.54478702545166,-0.5945456027984619
308.24841255,2580,173.09,21311,8,129,0.003,424200,0.08548810333013535,-225.94204711914062,4.839372301101685,-0.5849848389625549
307.65069002,2601,172.71,21488,8,130,0.003,427740,0.08138676732778549,-223.52899169921875,7.436919939517975,-0.4647333025932312
307.01850066,2621,172.21,21652,8,131,0.003,431020,0.07684453576803207,-223.96981811523438,7.9899657487869264,-0.4730921685695648
307.52123909000005,2646,172.65,21874,8,132,0.003,435460,0.07830239832401276,-222.6574249267578,3.3456233501434327,1.874089002609253
309.34162876000005,2660,173.24,21985,8,133,0.003,437680,0.07595688849687576,-222.9567413330078,8.661558747291565,-0.6892471313476562
308.32109573,2680,172.78,22148,8,134,0.003,440940,0.07372414320707321,-223.49317932128906,4.614289104938507,0.6410548090934753
307.43216566000007,2697,172.31,22294,8,135,0.003,443860,0.06818918138742447,-222.10195922851562,4.99770005941391,0.021805912256240845
306.3299851400001,2714,171.73,22453,8,136,0.003,447040,0.0708988681435585,-220.5791778564453,4.822057926654816,-2.068692684173584
305.33394273000005,2728,171.16,22582,8,137,0.003,449620,0.07617101073265076,-218.4189910888672,7.3379883646965025,-1.2220078706741333
305.25960635000007,2748,170.91,22756,8,138,0.003,453100,0.06930378079414368,-218.05233764648438,5.028996670246125,-0.09368198364973068
305.24219365,2769,170.75,22940,8,139,0.003,456780,0.07181811332702637,-216.3463134765625,8.448165690898895,-0.5756677389144897
304.21715698,2790,170.17,23116,8,140,0.003,460300,0.0673319548368454,-217.01864624023438,4.9166184067726135,-0.5286611318588257
306.84871243000003,2807,171.37,23245,8,141,0.003,462880,0.06483598798513412,-215.2576141357422,4.191777920722961,-0.1946239471435547
310.4724871,2831,173.34,23450,8,142,0.003,466980,0.06594807654619217,-215.02642822265625,3.8502368211746214,-0.9969989061355591
309.41706677999997,2853,172.55,23640,8,143,0.003,470780,0.06769158691167831,-211.76156616210938,5.119816827774048,-0.7616593837738037
308.83432791999996,2872,172.41,23806,8,144,0.003,474100,0.0630599781870842,-211.51084899902344,3.2754549384117126,-0.8289834260940552
312.29614827999995,2897,173.09,24026,8,145,0.003,478500,0.06332835555076599,-211.2151641845703,4.604010802507401,0.8396828174591064
314.81394835,2935,174.21,24354,8,146,0.003,485060,0.07407811284065247,-212.40957641601562,5.615785300731659,0.0629001259803772
318.59955,2958,175.87,24550,8,147,0.003,488980,0.07508387416601181,-212.54428100585938,3.7838887095451357,1.7034540176391602
321.50583876,2977,176.9,24711,8,148,0.003,492200,0.07720386236906052,-214.2176055908203,3.6575902819633486,1.0343583822250366
323.5133118,2992,176.13,24835,8,149,0.003,494680,0.07429446280002594,-215.60260009765625,5.19104779958725,-0.35122770071029663
322.32793069999997,3006,175.0,24959,8,150,0.003,497160,0.0712827667593956,-215.39004516601562,4.113659048080445,0.6478441953659058
320.95330115999997,3020,173.94,25085,8,151,0.003,499680,0.07326690107584,-214.66009521484375,4.114342546463012,0.18460029363632202
