time/fps,rollout/ep_rew_mean,time/time_elapsed,time/total_timesteps,time/episodes,rollout/ep_len_mean,train/ent_coef,train/learning_rate,train/n_updates,train/ent_coef_loss,train/actor_loss,train/critic_loss
2,27.138985530000003,1921,5714,153,23.34,0.06954201310873032,0.03,112260,0.43751615285873413,-43.75705337524414,31.084585094451903
2,27.26565291,1928,5735,154,23.47,0.06315992772579193,0.03,112680,-1.813579797744751,-38.10005187988281,21.221509647369384
2,27.309150220000006,1934,5750,155,23.52,0.057446323335170746,0.03,112980,0.2154606580734253,-41.34573745727539,22.417596769332885
2,27.361016990000007,1939,5766,156,23.58,0.06740620732307434,0.03,113300,0.793864905834198,-39.991973876953125,23.927402591705324
2,27.436758220000005,1945,5783,157,23.67,0.07708052545785904,0.03,113640,-1.4879792928695679,-31.56740951538086,29.854230451583863
2,27.46757483,1950,5798,158,23.71,0.06750676035881042,0.03,113940,-1.2937601804733276,-36.99754333496094,21.83481068611145
2,27.527364570000003,1955,5813,159,23.78,0.06053686887025833,0.03,114240,1.0012246370315552,-35.3455810546875,20.839144039154053
2,27.533307960000005,1959,5825,160,23.79,0.06941532343626022,0.03,114480,1.9102427959442139,-41.673789978027344,20.313720369338988
2,27.526662680000005,1964,5838,161,23.79,0.09071484953165054,0.03,114740,-1.5280895233154297,-42.02824783325195,23.628195095062257
2,27.603650520000002,1970,5856,162,23.88,0.06548483669757843,0.03,115100,1.470711588859558,-44.391876220703125,26.157187271118165
2,27.601977720000004,1974,5867,163,23.87,0.06155889108777046,0.03,115320,-0.3794138729572296,-40.32334899902344,21.329257869720458
2,27.63074834,1978,5881,164,23.91,0.06871355324983597,0.03,115600,0.688817024230957,-36.90674591064453,20.335862588882446
2,27.69415613,1984,5896,165,23.98,0.07955275475978851,0.03,115900,-0.8849133253097534,-33.58466720581055,23.95753855705261
2,23.980854869999998,1988,5909,166,22.4,0.06948364526033401,0.03,116160,-0.7293802499771118,-40.21406555175781,26.021806716918945
2,20.12102007,1993,5922,167,20.87,0.05811944976449013,0.03,116420,1.3098299503326416,-35.406375885009766,44.99597978591919
2,15.968942179999999,1998,5937,168,19.15,0.08000168949365616,0.03,116720,-2.1037659645080566,-38.71464538574219,39.14288663864136
2,12.069237449999997,2003,5951,169,17.41,0.07612684369087219,0.03,117000,-2.414854049682617,-41.35614776611328,31.178958129882812
2,8.258449890000001,2008,5966,170,15.81,0.053459275513887405,0.03,117300,2.7406764030456543,-37.242919921875,28.24511127471924
